timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
271708193,15.976636,15.977693,5.262427,5.2232747,158.8905,1.0,1.0,4,1,0
272008168,15.860502,15.969426,5.479968,5.2658863,159.33429,1.0,1.0,4,1,0
272309810,15.835616,15.957449,5.6560726,5.3894367,159.80124,1.0,1.0,4,1,0
272609619,15.918569,15.954456,5.5317636,5.4410195,160.26152,1.0,1.0,4,1,0
272909657,15.993226,15.9454365,5.6975093,5.4993076,160.7265,1.0,1.0,4,1,0
273209701,15.918569,15.937534,5.407454,5.5200543,161.18974,1.0,1.0,4,1,0
273509609,15.910274,15.939387,5.386736,5.4871716,161.64319,1.0,1.0,4,1,0
273811316,15.993226,15.94058,5.44889,5.4477024,162.09473,1.0,1.0,4,1,0
274111359,15.93516,15.942742,5.2520676,5.4010906,162.53969,1.0,1.0,4,1,0
274411280,15.960045,15.953376,4.9930897,5.303016,162.96962,1.0,1.0,4,1,0
274711392,15.943455,15.962612,5.044885,5.1630273,163.38301,1.0,1.0,4,1,0
275011446,15.893683,15.964928,5.1070404,5.1353106,163.80742,1.0,1.0,4,1,0
275312846,16.009817,15.969052,5.0656037,5.1279964,164.23587,1.0,1.0,4,1,0
275624875,15.835616,15.968464,5.0656037,5.114578,164.67754,1.0,1.0,4,1,0
275924896,15.918569,15.966282,5.7596636,5.163649,165.11275,1.0,1.0,4,1,0
276225008,15.885388,15.937043,5.8011003,5.617118,165.64078,1.0,1.0,4,1,0
276525053,15.943455,15.931743,5.780382,5.643582,166.1151,1.0,1.0,4,1,0
276826456,16.018112,15.925245,5.9150505,5.7035184,166.59904,1.0,1.0,4,1,0
277126492,15.9019785,15.917826,6.1222324,5.834735,167.10146,1.0,1.0,4,1,0
277426454,15.943455,15.909422,6.03936,5.924829,167.60686,1.0,1.0,4,1,0
277726512,15.96834,15.903005,5.790741,5.947098,168.10614,1.0,1.0,4,1,0
278026441,15.810731,15.897308,5.8632545,5.917662,168.59552,1.0,1.0,4,1,0
278326459,15.95175,15.904068,5.4592495,5.778244,169.06107,1.0,1.0,4,1,0
278640136,15.976636,15.908073,5.1381173,5.5874004,169.52466,1.0,1.0,4,1,0
278940086,15.868797,15.91461,5.262427,5.4421873,169.95964,1.0,1.0,4,1,0
279240111,15.860502,15.919908,5.096681,5.3160186,170.38686,1.0,1.0,4,1,0
279540262,15.960045,15.92393,4.806626,5.199088,170.80617,1.0,1.0,4,1,0
279840878,15.843912,15.926649,4.8584213,5.0568743,171.2106,1.0,1.0,4,1,0
280141835,16.001522,15.936594,4.910217,4.9697847,171.61493,1.0,1.0,4,1,0
280441845,15.943455,15.943496,4.9516535,4.944722,172.02367,1.0,1.0,4,1,0
280741781,16.067883,15.95425,5.0345263,4.9542384,172.43765,1.0,1.0,4,1,0
281041800,15.868797,15.950946,5.5110455,5.025465,172.86427,1.0,1.0,4,1,0
281342586,15.354492,15.89917,10.006898,6.0951004,173.4934,0.99970996,1.0000559,4,1,0
281643376,15.470626,15.809854,11.633278,7.9908295,174.39966,1.0,1.0,4,1,0
